,gene_symbol,entrez_id
1073,PSMD6,9861
1074,PSMD5,5711
1075,PSMD4,5710
1076,PSMD3,5709
1077,PSMD2,5708
1078,PSMD1,5707
1079,PSMD14,10213
1080,PSMD13,5719
1081,PSMD12,5718
1082,PSMD11,5717
1083,PSMD10,5716
1084,PSMC5,5705
1085,PSMC4,5704
1086,PSMC3,5702
1087,PSMC2,5701
1088,PSMC1,5700
1089,PSMB9,5698
1090,PSMB7,5695
1091,PSMB6,5694
1092,PSMB5,5693
1093,PSMB4,5692
1094,PSMB3,5691
1095,PSMB2,5690
1096,PSMB1,5689
1097,PSMB11,122706
1098,PSMB10,5699
1099,PSMA8,143471
1100,PSMA7,5688
1101,PSMA6,5687
1102,PSMA5,5686
1103,PSMA4,5685
1104,PSMA3,5684
1105,PSMA2,5683
1106,PSMA1,5682
1107,MYF5,4617
1108,ODC1,4953
1109,STK36,27148
1110,LATS2,26524
1111,ACVR1B,91
1112,WT1,7490
1113,ULK3,25989
1114,SLC17A4,10050
1115,SLC25A20,788
1116,NR2F6,2063
1117,NR1I3,9970
1118,THRB,7068
1119,STK11,6794
1120,MFAP2,4237
1121,TRIB3,57761
1122,LMO2,4005
1123,ESR2,2100
1124,CALR,811
1125,RARG,5916
1126,GRB10,2887
1127,HSPA5,3309
1128,XBP1,7494
1129,TGFB2,7042
1130,TAL1,6886
1131,SMARCA5,8467
1132,PLK1,5347
1133,NR2F2,7026
1134,HCFC1,3054
1135,GATA5,140628
1136,EIF2AK1,27102
1137,DLX5,1749
1138,CREB3,10488
1139,TST,7263
1140,DNMT3B,1789
1141,HNF1A,6927
1142,HSF1,3297
1143,ETV4,2118
1144,NFAT5,10725
1145,PAX3,5077
1146,ISL1,3670
1147,TWIST2,117581
1148,KAT7,11143
1149,SATB1,6304
1150,JDP2,122953
1151,ERG,2078
1152,CDX2,1045
1153,ATF5,22809
1154,BCL11A,53335
1155,CHAC1,79094
1156,BMP5,653
1157,ITGA8,8516
1158,ITGA9,3680
1159,STMN1,3925
1160,IRAK3,11213
1161,BCCIP,56647
1162,RANBP1,5902
1163,IGBP1,3476
1164,TRAF5,7188
1165,IFI16,3428
1166,HSPB8,26353
1167,PRKD3,23683
1168,NAA10,8260
1169,SLAMF1,6504
1170,MAP2,4133
1171,MYOC,4653
1172,S100A4,6275
1173,SEMA3D,223117
1174,ANGPTL2,23452
1175,C1QTNF1,114897
1176,FBLN1,2192
1177,FBN1,2200
1178,MFGE8,4240
1179,TIMP3,7078
1180,TIMP2,7077
1181,ACVRL1,94
1182,LGALS1,3956
1183,NEDD9,4739
1184,NUTF2,10204
1185,NCOA4,8031
1186,GRN,2896
1187,REN,5972
1188,STK10,6793
1189,PRKX,5613
1190,PTPRE,5791
1191,STK24,8428
1192,DISC1,27185
1193,HIPK3,10114
1194,TP53RK,112858
1195,FBLIM1,54751
1196,PREX1,57580
1197,TLK2,11011
1198,NLRC4,58484
1199,ILK,3611
1200,VEGFC,7424
1201,RARRES2,5919
1202,CCL15,6359
1203,CCL14,6358
1204,STK39,27347
1205,DDR2,4921
1206,MST1,4485
1207,ITGB6,3694
1208,MAP4K2,5871
1209,PTPRC,5788
1210,RASSF1,11186
1211,CTSB,1508
1212,CFL1,1072
1213,FAS,355
1214,HTRA2,27429
1215,CCL8,6355
1216,ASF1B,55723
1217,CASP6,839
1218,BNIP3,664
1219,SH3GLB1,51100
1220,BACE2,25825
1221,MMP14,4323
1222,DCLRE1B,64858
1223,CCN2,1490
1224,TRAF1,7185
1225,TXLNA,200081
1226,SELPLG,6404
1227,STK3,6788
1228,LIMK2,3985
1229,SEMA3E,9723
1230,SEMA7A,8482
1231,PDGFD,80310
1232,CXCR1,3577
1233,CXCL9,4283
1234,CXCL6,6372
1235,CXCL2,2920
1236,CXCL1,2919
1237,CXCL16,58191
1238,CXCL11,6373
1239,CXCL10,3627
1240,TESK1,7016
1241,RACK1,10399
1242,RRAS,6237
1243,RALB,5899
1244,HSPB1,3315
1245,SQSTM1,8878
1246,LGALS9,3965
1247,RGS19,10287
1248,PYY,5697
1249,MYOCD,93649
1250,LAMA2,3908
1251,ITGAV,3685
1252,EIF4EBP1,1978
1253,IL33,90865
