SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
UBE2S	1	1	1	1	1	1	1	1	1	1	1	1
UBE2N	1	1	1.10051637124451	1	1	1	1	1.00008182165317	1	1	1	1
UBE2L6	1	1	1.01123063390333	1.00132721742198	1.67289299856114	1	1.68547180512267	1	1	1	1	1
UBE2E1	1.0946863530451	1	1.23197284120485	1	1.01729776263376	1	1.12173238957562	1.00662037988695	1	1	1	1
UBE2D3	1.05846933165178	1	1.42214680201051	1.00570773988582	1.01789142440239	1	1.18831624043536	1.00007667149163	1	1.00485279888489	1.01493419564127	1
UBE2D2	1.02360582381125	1.0063762992593	1	1	1	1	1.50407057985289	1	1	1	1	1
UBE2D1	1	1	1	1	1	1	1	1	1	1	1	1
UBE2C	1	1	1	1	1	1	1	1	1	1	1	1
UBC	1.01832908348864	1	1	1	1	1.03585669058996	1.11290079313923	1	1	1.02154311052742	1	1
UBB	1	1.01617255057574	1.1697230627429	1.00031128859074	1	1.21714739874699	1.1426276650024	1.00008313685619	1	1.04042268521119	1	1
UBA52	1.01545577521664	1.03641075631038	1.36334060472334	1	1	1	1.36551802062364	1.00008359204285	1	1.05243162123342	1	1
TYK2	1.13623732195056	1.58909916799323	1	1	2.41535736115989	1	1	1.00007966615112	1	1	1.07033307557524	1.21153378218085
TXN	1	1	1.01086991655787	1.00054322302904	1.02289576290419	1	1.73504357833159	1	1	1	1	1
