nes_NAS_1_vs_NAS_0	fdr_NAS_1_vs_NAS_0	nes_NAS_2_vs_NAS_1	fdr_NAS_2_vs_NAS_1	nes_NAS_3_vs_NAS_2	fdr_NAS_3_vs_NAS_2	nes_NAS_4_vs_NAS_3	fdr_NAS_4_vs_NAS_3	nes_NAS_5_vs_NAS_4	fdr_NAS_5_vs_NAS_4	nes_NAS_6_vs_NAS_5	fdr_NAS_6_vs_NAS_5	nes_NAS_7_vs_NAS_6	fdr_NAS_7_vs_NAS_6
ERG	-0.103738616553645	0.954567730946156	0.183917270450988	0.966397351123826	-0.263132777369113	0.978420451943337	1.7366590490413	0.22946195763867	3.3587113745639	0.00583512022267701	-1.30322037840296	0.962321347823288	-0.0602761114482858	0.967346656291701
ESR1	3.42244380369219	0.00716803684726695	-1.0817092191059	0.747638319304483	0.964965909868815	0.978420451943337	2.40615139409528	0.0689645460608489	1.37526071281787	0.334973377952342	0.783864498249899	0.962321347823288	1.86163071094806	0.327113722404807
ESR2	1.48822441797404	0.346986673259946	-0.33153910387342	0.928846269587052	0.832955088189611	0.978420451943337	1.33811363227185	0.357081374628097	0.689114658271483	0.666844163916265	-0.600811363830405	0.976172081720909	0.798903830278484	0.730485484916668
ESRRA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ESRRB	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ESRRG	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ESX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ETS1	4.37580794982356	0.000476023301377026	0.0999604980797722	0.969269247940633	0.432233517269767	0.978420451943337	5.21525408311071	8.48072344781707e-06	6.4568934008895	4.11465368209088e-09	-0.280957498061781	0.976172081720909	3.2893687005301	0.0331360898277373
ETS2	3.5620411278696	0.00472244489238117	0.677686915343933	0.871447892770771	-0.821889561800094	0.978420451943337	2.95158989302317	0.0215038073732822	2.79586381370038	0.0278066017671459	-0.495392563090881	0.976172081720909	2.14376520219538	0.258397211361678
ETV1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ETV2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ETV3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ETV4	0.7988465977774	0.662375904187179	0.437740154947577	0.928846269587052	1.3930184934944	0.978420451943337	3.57319701417006	0.00426380901693515	4.15605232062845	0.000393664977067487	0.296393881154276	0.976172081720909	2.25846436723071	0.24689194511768
ETV5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ETV6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ETV7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EVX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EVX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EWSR1	0.265819632921503	0.902409652210158	0.0965124713403863	0.969269247940633	-0.0489584606708756	0.97888251186766	0.548092739218759	0.724235988514907	-0.34856526204182	0.835985219886742	0.257330348694906	0.976172081720909	1.04670329812182	0.626611661051698
EZH2	1.03839418724921	0.552711989937861	-0.0826711023645139	0.971982511673436	-0.313206571878707	0.978420451943337	-0.0106027893874882	0.996311511150537	0.651997819225087	0.679011404578329	-1.20328931159582	0.962321347823288	0.673216551010798	0.766139087023093
FAM170A	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FERD3L	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FEV	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FEZF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FEZF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FGF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FHL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FIGLA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FIZ1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
